Variant_2,Variant_3,Variant_4,Variant_5
7,16,29,23
9,19,31,33
7,27,30,32
8,22,24,25
16,26,29,31
7,24,27,29
8,26,29,31
11,21,29,30
10,26,29,31
11,24,31,28
7,26,29,31
6,25,28,30
9,27,29,31
8,17,27,30
7,22,25,28
8,19,32,32
9,16,31,31
9,24,27,29
10,19,28,29
7,30,32,33
6,21,25,27
9,25,28,30
9,26,29,31
7,17,23,24
7,17,24,25
8,20,26,28
7,26,28,30
6,23,26,28
9,27,29,31
7,23,26,28
6,19,24,25
6,22,26,28
8,21,25,27
7,27,29,31
10,22,27,29
8,24,27,29
7,22,25,28
8,20,30,24
16,20,24,25
10,26,28,30
11,23,26,29
7,18,30,25
11,27,30,25
13,19,28,30
7,18,26,26
9,23,26,28
10,20,29,27
8,21,26,28
6,18,28,30
7,20,25,27
13,17,31,33
6,19,24,26
10,17,30,29
10,23,26,28
8,18,24,26
8,20,27,30
10,24,27,29
7,22,30,27
11,19,31,27
9,23,26,29
10,18,25,27
9,18,25,28
6,22,31,23
7,20,29,31
7,18,29,31
13,21,27,28
7,18,31,32
12,21,25,27
12,18,25,28
10,22,28,30
8,19,24,26
9,22,32,29
7,19,30,32
8,34,35,35
10,22,25,28
7,18,27,29
17,18,30,32
7,18,30,32
7,17,29,23
7,18,25,27
10,25,28,30
7,19,25,26
6,23,26,29
7,18,23,24
13,26,29,31
8,17,27,29
8,23,28,29
7,18,26,25
9,25,27,29
8,20,27,29
7,23,26,29
11,22,32,28
7,18,24,25
7,22,25,28
7,25,28,30
9,17,28,24
9,24,27,29
10,24,27,29
9,18,25,28
8,21,29,31
