Variant_2,Variant_3,Variant_4,Variant_5
15,16,34,36
11,40,39,41
25,33,34,35
8,25,28,30
22,32,33,34
7,33,34,35
10,26,29,31
11,27,30,31
17,30,31,33
16,29,31,33
7,30,32,33
15,29,31,33
11,27,29,31
14,29,31,32
22,32,33,35
18,30,32,33
17,30,32,33
9,24,27,29
10,25,28,30
24,33,34,35
6,34,35,36
12,34,35,36
9,30,31,33
7,17,23,24
27,17,34,35
27,34,35,36
7,26,28,30
10,25,28,30
9,34,35,36
8,23,26,28
8,24,27,29
15,29,31,33
14,28,30,32
7,31,32,34
23,32,33,35
15,29,31,33
7,28,30,32
11,30,32,33
18,30,32,33
10,26,28,30
22,32,33,34
7,18,30,25
11,34,35,36
15,29,31,32
7,23,26,29
18,30,32,34
10,26,29,31
25,33,34,35
12,31,32,34
7,20,25,27
16,17,31,33
8,19,24,26
29,34,35,37
12,27,30,32
10,27,29,31
8,24,27,30
22,32,33,34
13,28,30,32
20,31,33,34
9,23,26,29
12,18,30,32
9,22,25,28
28,34,35,36
7,37,38,39
33,36,37,38
30,35,36,37
19,31,32,34
12,27,30,31
31,35,36,37
20,31,32,34
8,21,25,27
9,30,32,33
24,32,33,35
9,34,35,36
14,31,32,34
13,28,30,32
21,31,33,34
7,18,30,32
8,17,36,23
7,21,25,27
19,31,32,34
8,19,25,26
11,35,36,37
8,18,26,29
21,31,33,34
28,34,35,36
8,27,29,31
7,31,32,34
9,32,33,35
8,24,27,29
9,23,26,29
18,30,32,34
7,18,24,25
11,27,29,31
7,27,29,31
9,32,33,29
9,26,29,31
20,31,32,34
9,23,27,29
25,33,34,35
