Variant_2,Variant_3,Variant_4,Variant_5
13,18,21,40
13,16,23,40
13,22,22,39
13,18,22,38
14,18,20,42
13,21,21,40
15,17,22,42
14,18,22,42
15,17,20,39
14,17,24,41
13,16,22,40
14,18,22,41
13,17,21,40
15,18,19,40
13,17,21,41
14,17,20,39
13,18,22,39
14,17,23,37
15,16,22,41
14,17,20,38
13,18,22,40
15,18,21,39
14,18,21,41
13,17,19,38
13,20,20,38
15,18,22,39
13,17,23,42
14,18,23,40
13,19,23,39
13,19,22,41
14,19,22,39
15,19,20,41
15,18,22,40
14,16,21,43
17,19,22,38
13,21,23,38
14,19,21,42
13,16,20,40
15,17,22,39
15,19,20,40
16,17,21,39
13,17,20,38
13,19,22,41
13,18,21,41
14,18,20,38
18,19,21,40
14,18,21,39
16,18,20,41
16,17,20,39
13,18,21,40
13,18,21,37
13,16,21,40
15,17,21,41
13,17,20,41
13,16,24,42
14,19,23,38
14,18,23,40
15,19,21,39
14,18,21,39
15,18,22,39
13,20,22,41
13,17,21,37
15,17,21,41
14,16,20,38
13,17,20,37
18,19,20,40
15,19,22,40
15,17,21,38
16,19,24,40
13,19,20,41
15,17,21,39
14,17,21,41
16,18,22,39
13,20,21,41
14,18,20,37
15,16,20,39
14,16,20,41
14,18,21,43
17,18,19,37
14,16,21,40
15,16,21,41
14,18,19,40
15,21,21,41
14,17,20,39
14,17,21,43
14,16,20,38
13,18,21,40
14,18,23,40
14,21,23,42
15,20,21,40
15,17,20,38
14,17,19,39
14,16,20,39
15,17,21,37
16,17,20,40
13,18,19,40
15,18,20,42
13,18,20,42
14,16,19,41
16,19,20,40
