Variant_2,Variant_3,Variant_4,Variant_5
26,29,21,49
14,18,39,57
25,28,31,50
13,18,24,45
23,18,29,49
13,28,31,50
17,21,24,45
18,22,25,46
21,24,28,48
21,24,27,48
15,25,28,48
20,24,27,47
18,22,25,46
20,23,27,47
24,27,30,50
22,25,28,48
21,25,28,48
16,20,23,44
17,21,24,45
25,28,30,50
27,29,32,51
15,18,21,52
15,19,21,48
13,17,20,38
26,29,26,47
26,29,32,51
13,21,24,45
17,21,24,45
13,29,32,51
15,20,22,43
15,20,22,44
20,24,27,47
20,23,26,47
14,17,21,49
24,27,30,50
20,24,27,48
20,23,26,47
14,16,28,48
22,25,25,48
17,21,24,45
24,27,30,50
14,17,20,41
16,29,32,52
20,23,27,47
14,19,22,43
22,25,28,49
17,21,24,45
25,28,31,50
23,17,29,49
14,18,21,41
21,24,25,48
13,19,21,42
27,30,33,52
19,22,25,46
18,22,25,46
15,20,23,44
23,27,30,50
19,22,26,46
23,26,29,49
16,20,23,43
19,23,26,45
15,20,22,42
27,29,32,52
32,34,36,55
30,32,35,54
28,31,33,53
22,26,29,49
19,22,25,46
29,31,34,53
13,26,29,49
15,19,21,42
14,25,28,48
25,27,30,50
13,29,32,51
22,19,20,49
19,23,26,47
23,26,29,49
14,18,21,45
29,31,19,40
15,19,21,42
22,25,28,49
14,18,21,41
16,30,33,52
14,17,20,39
23,26,29,49
27,30,32,52
18,22,25,46
23,26,29,49
24,27,30,50
15,20,23,44
16,20,22,43
22,25,28,49
14,16,20,40
18,22,25,46
18,22,25,46
16,27,22,42
17,22,25,45
22,26,29,49
14,16,22,43
25,28,31,51
